fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type
2.3796,-1.0306,1.0417,0.0123,0.0465,0.0139,0.0622,0.1309,0.1318,0.0337,0.2319,3,white
-0.2432,0.3058,0.56,0.0613,0.0216,0.0139,0.03,0.0846,0.4574,0.0843,0.6667,3,white
0.5282,1.8244,0.9729,0.1534,0.3904,0.1111,0.5092,0.2157,0.1163,0.2921,0.1594,3,white
0.8367,-0.0587,0.6976,0.0084,0.0399,0.059,0.2074,0.0769,0.3721,0.0562,0.6377,3,white
-0.0889,-0.1195,0.0094,0.1595,0.0482,0.0521,0.1382,0.127,0.4031,0.1011,0.5072,3,white
1.0682,1.2777,0.2159,0.2293,0.0797,0.1198,0.8306,0.2504,0.2481,0.2303,0.4348,3,white
0.2196,-0.1195,-0.5412,0.0613,0.0731,0.0243,0.2949,0.1675,0.3256,0.1573,0.1594,3,white
-0.3975,2.5533,-2.0552,0.0184,0.1146,0.0174,0.0138,0.1714,0.6434,0.2303,0.2826,3,red
3.5367,-0.6662,0.4223,0.161,0.0415,0.0486,0.2696,0.2427,0.1628,0.1854,0.2464,3,white
0.0653,3.8897,-1.8487,0.023,0.0864,0.066,0.0991,0.1916,0.4574,0.1854,0.2464,3,red
-1.0918,-0.6054,0.8352,0.0445,0.0332,0.0139,0.2373,0.0808,0.6279,0.118,0.5362,3,white
-0.0889,0.9132,-0.6788,0.0215,0.0631,0.5052,0.6947,0.102,0.4031,0.0843,0.4348,3,white
-0.8604,-0.4839,-0.4723,0.0353,0.0631,1.0,1.0,0.1163,0.5581,0.236,0.3623,3,white
0.991,-0.4839,-0.7476,0.2393,0.108,0.1389,0.4401,0.2099,0.2326,0.1573,0.2609,3,white
-0.3975,-0.5447,-0.4035,0.0146,0.0532,0.408,0.4839,0.1502,0.6434,0.2303,0.2029,3,white
1.4539,1.5206,0.4223,0.0153,0.0947,0.1146,0.4055,0.1868,0.3953,0.0899,0.0725,3,white
-0.0889,3.2519,-1.8487,0.0782,0.1213,0.0069,0.0184,0.2115,0.5271,0.1685,0.3188,3,red
0.2968,0.8525,0.3535,0.0092,0.0415,0.0139,0.1175,0.1051,0.2558,0.1798,0.3478,3,white
